lat,lng,town,address,phone
-34.5022862,139.0458119, Angaston Branch, Angaston Town Hall, 08 8563 8300
-31.8915725,138.4280877, Hawker School Community Library, Arkaba Street, 08 8648 4003
-35.34786,138.62109, Mt Compass Library Kiosk, Australia Post LPO Compass Central, 08 8555 7000
-34.1513818,138.4162868, Balaklava Community Library, Balaklava High School, 08 8862 1336
-34.832257,138.648903, Ingle Farm Branch, Beovich Road, 08 8406 8595
-34.2776449,140.6104088, Berri Library Service, Berri Library and Information Centre, 08 8595 2666
-30.5927365,138.4010974,Leigh Creek School Community Library, Black Oak Drive, 08 8675 2803
-34.0702031,137.5917073, Moonta Library, Blanche Terrace, 08 8825 1511
-33.3493472,138.2107725, Crystal Brook Branch, Bowman Street, 08 8636 2150
-35.2563731,140.9077048, Pinnaroo School Community Library, Bundey Terrace, 08 8577 8176
-33.863852,138.008147, Bute Depot, Bute Post Office, 08 8826 2011
-34.6522175,139.2818574, Cambrai School Community Library, Cambrai Primary School, 08 8564 5146
-32.1368101,133.6700999, Ceduna School Community Library, Ceduna Area School, 08 8625 3270
-34.3682091,137.6741862, Central Yorke Peninsula (Maitland) Community Library, Central Yorke School, 08 8832 2805
-33.7000082,136.4969677, Cleve School Community Library , Cleve Area School, 08 8628 2607
-34.8770329,138.4922506, West Lakes Branch, Cnr Brebner Dr & West Lakes Blvd, 08 8408 1333
-35.40732014,138.9695779, Milang Depot, Cnr Coxe Street & Ameroo Avenue, 08 8555 7000
-34.62178243,135.4660991, Coffin Bay Depot, Coffin Bay Hall, 08 8676 2476
-29.0127893,134.7519159, Coober Pedy School Community Library, Coober Pedy Area School, 08 8672 4634
-35.4752446,139.706959, Coomandook School Community Library, Coomandook Area School, 08 8573 3196
-33.6847064,136.9181995, Cowell School Community Library, Cowell Area School, 08 8629 2320
-30.5609301,136.8959946,Roxby Downs Community Library Service, Cultural and Leisure Precinct, 08 8671 0500
-34.2639475,135.722282, Cummins School Community Library, Cummins Area School, 08 8676 2476
-34.6962834,137.7131026, Minlaton Library Curramulka Depot, Curramulka Institute, 08 8853 2339 
-33.6473109,134.8910975, Elliston Depot, Elliston Visitor Centre, 08 8687 9200
-34.9051125,138.5304097, Findon Branch, Findon Shopping Centre, 08 8408 1333
-35.379261,140.1617017, Geranium Community Library Depot, Geranium Terrace, 08 8577 2277
-30.4489032,137.1676135,Andamooka School Community Library, Government Road, 08 8672 7018
-35.1875451,138.4817273, Seaford Branch, Grand Boulevard, 08 8384 0044
-35.1400317,138.4966635, Noarlunga Branch, Hannah Road, 08 8384 0655
-34.769521,138.62332, Salisbury West Branch, Hollywood Boulevard, 08 8406 8489
-35.074246,138.593158, Aberfoyle Park (The Hub) Branch, Hub Drive, 08 8384 0100
-33.2049024,138.6093581, Jamestown School Community Library, Humphris Terrace, 08 8664 2713
-34.1696468,140.7499393,Renmark Paringa Public Library Service, James Avenue , 08 8586 5544
-35.7199274,137.9314472, Penneshaw Depot, Kangaroo Island Community Education, 08 8553 1067
-35.7199274,137.9314472, Penneshaw Depot, Kangaroo Island Community Education, 08 8553 1067
-35.1184424,139.278728,Murray Bridge Library Service," Level 2, Market Place", 08 8539 1175
-34.9235721,138.6028183, City Library (Rundle Place) Branch," Level 3, Rundle Place", 08 8203 7990
-33.5683918,135.7539368, Lock School Community Library, Lock Area School, 08 8689 1015 / 08 8689 1019 (School)
-36.9657184,140.3695088, Lucindale School Community Library, Lucindale Area School, 08 8766 2084
-34.9141381,139.303632, Mannum School Community Library, Mannum Community College, 08 8569 2005
-35.6832925,139.3415424, Meningie School Community Library, Meningie Area School, 08 8575 1681
-37.4803116,140.013447, Beachport Library, Millicent Road, 08 8735 8029
-34.0335996,139.6679406, Morgan Library, Morgan & Districts Community Hub, 08 8540 0090
-37.1631547,139.7568771,Robe Public Library Service, Mundy Terrace, 08 8768 2465
-34.5980842,138.7392859, Gawler Sport and Community Centre Branch, Nixon Terrace, 08 8522 9213
-35.0913196,139.8952544, Karoonda School Community Library, North Terrace, 08 8578 1120
-32.7297886,138.6126121, Orroroo School Community Library, Orroroo Area School, 08 8658 1100
-34.1561473,138.7495512, Riverton and District High School Library, Oxford Terrace, 08 8847 2414
-34.898063,138.594708,Prospect Public Library Service, Payinthi, 08 8342 8170
-32.7606224,134.9738076, Karcultaby School Community Library, Phillips Road, 08 8626 3077
-34.77784428,137.8621744, Minlaton Library Port Vincent Depot, Port Vincent Institute, 08 8853 2339
-32.9782655,138.8357974,Peterborough School and Community Library Service, Queen Street, 08 8651 2523
-32.3477065,138.0369195, Quorn School Community Library, Quorn Area School, 08 8648 6705
-37.5929363,140.3502188, Millicent Library, Ridge Terrace, 08 8733 0903
-33.7855723,138.2236739, Snowtown School Community Library, Snowtown Primary School, 08 8865 2006
-35.2718013,138.5547154, Willunga Branch, St Peter's Terrace, 08 8384 0006
-32.7979441,134.2008644, Streaky Bay School Community Library, Streaky Bay Area School, 08 8626 1492
-34.5716229,139.602886, Swan Reach Community Library, Swan Reach Area School, 08 8570 2298
-35.2585421,139.4576464, Tailem Bend School Community Library, Tailem Bend Primary School, 08 8572 3275 / 08 8572 3266
-35.4549782,138.3357458,Yankalilla Library Service, The Centre, 08 8558 0265
-35.5326768,138.6818231, Pt Elliot Depot, The Strand, 08 8555 7000
-35.5326768,138.6818231, Pt Elliot Depot, The Strand, 08 8555 7000
-35.8831778,140.0599599, Tintinara Coonalpyn School Community Library, Tintinara Area School, 08 8757 2120
-36.0993722,140.3531433, Keith Community Library, Tolmer Terrace, 08 8755 3236
-34.3756872,136.0998514, Tumby Bay School Community Library, Tumby Bay Area School, 08 8688 2471
-34.811029,138.652544, Para Hills Branch, Wilkinson Road, 08 8406 8530
-31.1971718,136.8255037,Woomera Community Library Service, Woomera Area School, 08 8673 7287
-33.0444983,135.462268, Wudinna School Community Library, Wudinna Area School, 08 8680 2194
-35.0165679,137.6146998, Yorketown School Community Library, Yorketown Area School, 08 8852 1647
-15.92221,145.352361,Bloomfield Library,-,07 4060 8342
-19.258704,146.817816,CityLibraries Home Service,-,07 4727 8324
-19.258638,146.817738,CityLibraries Mobile Library,-,07 4727 8324
-28.077641,153.385599,GCCC - Library Administration (not open to public),-,07 5581 6788
-28.077641,153.385599,Gold Coast Mobile Library,-,07 5581 7272
-27.61696,152.760038,Ipswich Mobile Library Service,-,07 3810 6887
-26.652215,153.082895,Mobile Central Route (Mobi 2),-,07 5475 8989
-21.117771,149.15993,Mobile Library,-,-
-26.804547,153.129233,Mobile Southern Route (Mobi 1),-,07 5475 8989
-27.178626,152.983804,Moreton Bay Region Mobile Library,-,07 3480 6698
-26.387074,153.091403,Noosa Mobile Library,-,5329 6555
-27.525603,153.266828,Redland Mobile Library,-,07 3829 8400
-27.989954,152.9956,Scenic Rim Regional Council Mobile Library,-,07 5540 5142
-27.56155,151.95096,Toowoomba Region Mobile Library,-,-
-27.470842,153.022721,Brisbane mobile library services,"<a href=http://www.brisbane.qld.gov.au/facilities-recreation/libraries/library-opening-hours-locations/mobile-library-services"" target=""_blank"">View Mobile Library stops and calendar</a> """,0414 326 486
-33.9777014103648,151.106218194419,South Hurstville Library,1 Allen Street,
-33.8833254668971,151.024714786208,Regents Park Library,1 Amy Street,02 8757 9066
-37.88203,144.735819,Point Cook,1 Cheetham Street,
-38.05060886,145.1161004,Chelsea,1 Chelsea Road  Chelsea  3196,1300 135 668
-32.05528,115.96523,Thornlie Public Library,1 Culross Avenue,9251 8750
-40.121993,148.016588,Whitemark,"1 Davies Street, Whitemark",(03) 6359 2151
-31.64107,117.48403,Tammin Public Library,1 Donnan Street,9637 1101
-26.954499,152.778438,Woodford Library,1 Elizabeth Street ,07 5496 1136
-38.176566,146.260283,Moe,1 George Street,5135 8350
-31.99745,115.76404,Cottesloe/Peppermint Grove/Mosman Park Public Library,1 Leake Street,9286 8686
-32.06688,118.39429,Narembeen Public Library,1 Longhurst Street,9064 7308
-33.7975983291583,151.286018883924,Manly Library,1 Market Place,02 9976 1720
-39.929402,143.851804,Currie,"1 Meech Street, Currie",(03) 6462 1202
-33.9589233424124,151.155123992148,Brighton Le Sands Library,1 Moate Avenue,02 9562 1812
-31.90303,116.16561,Mundaring Public Library,1 Nichol Street,9290 6780
-33.8111247776165,151.106172424357,Ryde Library,"1 Pope Street (cnr Pope and Devlin Streets, within Top Ryde City Shopping Centre)",02 9952 8352
-33.7618126874014,150.994032087467,BAULKHAM HILLS LIBRARY,1 Railway Street,02 9761 4520
-36.717004,144.251269,Eaglehawk,1 Sailors Gully Rd,5446 7577
-43.031196,147.049732,Huon,"1 Skinner Drive, Huonville",(03) 6121 7010
-27.311858,152.990598,Strathpine Library,1 Station Road ,07 3480 6698
-37.700167,144.774257,Sydenham (Watergardens),"1 Station Street, Taylors Lakes",
-33.8529755286505,151.033467278633,Auburn Library,1 Susan Street,02 8757 9060
-27.083525,153.159231,Bribie Island Library,1 Welsby Parade ,07 3408 1388
-32.03329,115.83332,Melville Civic Square Public Library,10 Almondbury Road,9364 0138 
-33.3760424482524,151.473266535269,BATEAU BAY VILLAGE LIBRARY,10 Bay Village Road, 02 4304 7500
-34.8730864679322,150.60127634372,Nowra Library,10 Berry Street,02 4429 3705
-17.511937,145.613716,Millaa Millaa Library,10 Main Street ,07 4089 2248
-32.29741,115.98456,Mundijong Public Library,10 Paterson Street,9526 1133
-21.688984,148.689027,Nebo Library,10 Reynolds Street ,07 4949 4115
-36.143262,141.987159,Jeparit,10 Roy Street,5391 4450
-35.509266,142.852251,Sea Lake,10 Sutcliffe Street,
-27.239184,153.017566,North Lakes Library,10 The Corso ,07 3480 9900
-28.3269423830626,153.401372691437,Murwillumbah Library,10 Tumbulgum Road,02 6670 2427
-12.385341811006,130.85034479026,Nightcliff ,"10-12 Pavonia Place, Nightcliff NT ",08 8930 0480 
-33.8863528623342,150.887990267513,BONNYRIGG LIBRARY,100 Bonnyrigg Avenue,02 9725 0333
-36.0029257805187,146.393946572784,Corowa Library,100 Edward Street,02 6033 8941
-23.36315,119.74368,Newman Community Library,100 Kalgan Drive,9175 2782
-28.5471,150.3067,Goondiwindi Library,100 Marshall Street ,07 4671 7470
-38.0813396,142.8061551,Mortlake,101 Dunlop Street  Mortlake  3272,5599 2410
-36.358429,146.687752,Beechworth,101 Ford Street,5728 3092
-36.45533268,142.0274466,Dimboola,101 Lloyd Street  Dimboola  3414,03 5389 1734
-37.89044262,145.2912164,Ferntree Gully,1010 Burwood Highway  Ferntree Gully  3156,9294 8140
-31.74354,115.7735,Joondalup Public Library,102 Boas Avenue,9400 4707
-38.138503,145.151569,Karingal PLACE,"103 Ashleigh Ave, Frankston",
-37.85851898,144.8962876,Williamstown,104 Ferguson Street  Williamstown  3018,9932 4170
-32.8967740090752,151.736878821769,Mayfield Library,104 Hanbury Street,02 4974 6630
-33.6996614269897,150.568832061283,Springwood Library,104 Macquarie Road,02 4723 5040
-33.9935961325073,151.139944531768,Sans Souci Library,104 Russell Avenue,02 9562 1817
-37.81834525,145.1267976,Box Hill,1040 Whitehorse Road  Box Hill  3128,9890 1002
-37.74308475,142.025514,Hamilton,105 Brown Street  Hamilton  3300,5573 0470
-31.98332,115.77997,Mount Claremont Public Library,105 Montgomery Avenue,9383 1462
-23.443432,144.248244,Longreach Library,106 Eagle Street ,07 4658 0735
-30.224913262788,149.444956781146,Wee Waa Library,106 Rose Street,02 6795 3064
-37.786437,144.854197,Braybrook,107 Churchill Ave,9188 5850
-37.820019,144.940669,Docklands (Library at the Dock),107 Harbour Promenade,9658 9998
-27.5650525,153.096605,Coopers Plains Library,107 Orange Grove Road ,07 3403 1530
-19.576055,147.404029,Burdekin Library,108 Graham Street ,07 4783 9970
-30.3792006464642,150.61062645566,BARRABA LIBRARY,108 Queen Street,02 6782 1606
-24.424607,145.464894,Blackall Library,108 Shamrock Street ,07 4657 4764
-38.22463319,145.1771129,Somerville,1085 Frankston Flinders Road  Somerville  3912,5950 1700
-32.3641390899078,149.533359244452,Gulgong Library,109 Herbert Street,02 6374 1202
-37.68278647,144.9186897,Broadmeadows,1093 Pascoe Vale Rd  The Age Library Broadmeadows  3047,9356 6900
-43.164066,146.927064,Geeveston,"11 Church Street, Geeveston",(03) 6297 1582
-35.897783,141.994182,Rainbow,11 Federal Street,
-28.5403515433062,153.550878339383,BRUNSWICK HEADS LIBRARY,11 Fingal Street,02 6685 1816
-33.9360355234967,151.146897613339,Arncliffe Library,11 Firth Street,02 9562 1816
-32.49543,118.267,Kondinin Public Library,11 Gordon Street,9889 1006
-42.976517,147.310917,Kingston,"11 Hutchins Street, Kingston",(03) 6165 6208
-16.875354,145.732457,Stratford Library,11 Kamerunga Road ,07 40443733
-37.80443139,144.9930806,Collingwood,11 Stanton Street  Abbotsford  Collingwood  3067,1300 695 427
-12.6714555706009,132.832641711333,Jabiru ,"11 Tasman Cres, Jabiru NT ",08 8979 9459 
-28.8101270869702,153.278776212575,Lismore Library,110 Magellan Street,02 6621 2464
-37.882133,145.163557,Glen Waverley,112 Kingsway  Glen Waverley  3150,9560 1655
-28.036467,148.581022,St George Library,112 Victoria Street ,07 4625 3375
-41.2352,146.411351,Latrobe,"113 Gilbert Street, Latrobe",(03) 6478 4220
-37.20303,145.048999,Broadford,113 High Street,5784 3357
-34.0656791071676,151.015829796769,Engadine Library,116E Caldarra Avenue,02 9548 6003
-33.4268344013742,151.342811934763,Gosford Library,118 Donnison Street,02 4304 7500
-33.9861167316557,150.89036332005,Glenquarie Library,12 Brooks Street,02 4645 4055
-35.238285,149.069472,Belconnen Lbrary,"12 Chandler Street, Belconnen ",
-33.8852081261434,151.000058848775,Chester Hill Library & Knowledge Centre,12 Chester Hill Road,02 9707 9740
-41.107135,146.822501,George Town Community Hub,"12 Elizabeth Street, George Town",(03) 6702 6090
-28.017967,153.164445,Canungra Library,12 Kidston Street ,07 5543 5791
-20.401719,148.580217,Proserpine Library,12 Main Street ,07 4945 0275
-32.44898,118.86284,Hyden Public Library,12 McPherson Street,9880 5160
-37.96766324,145.0565558,Cheltenham,12 Stanley Avenue  Cheltenham  3192,1300 135 668
-37.29441653,144.9518568,Kilmore,12 Sydney St  Kilmore  3764,5782 1322
-33.48334,115.72888,Boyanup Public Library,12 Thomas Street,9731 5639
-33.9623074418902,151.24602736161,Malabar Community Library,1203 Anzac Parade,02 9093 6100
-10.584312,142.215656,Torres Shire Ngulaig Meta Municipal Library,121 Douglas Street ,07 3077 9899
-27.155202,152.967303,Burpengary Library,121 Station Road ,07 3888 5366
-37.77758758,145.0193193,Fairfield,121 Station Street  Fairfield  3078,1300 655 355
-37.81537953,144.9865314,East Melbourne,122 George St  East Melbourne  3002,9658 9600
-37.10880966,143.3583156,Avoca,122 Main St  Avoca  3467,5465 3204
-37.869153,144.8290721,Altona,123 Queen Street  Altona  3018,9932 1330
-26.459252,152.677301,Imbil Library,123-125 Yabba Road ,07 5484 5488
-37.03090355,145.1468516,Seymour,125 Anzac Avenue  Seymour  3660,5792 1861
-36.92344854,144.7092657,Heathcote,125 High Street  Heathcote  3523,5433 3734
-37.85677379,145.0317489,Malvern,1255 High Street  Malvern  3144,8290 1366
-32.2618649655416,150.888535089445,Muswellbrook Library,126 Bridge Street,02 6543 1913
-29.6925240996331,152.93265438139,Grafton Library,126-144 Pound Street,02 6641 0100
-25.539837,152.702419,Maryborough Library,127-129 Bazaar Street ,07 4190 5788
-37.80171709,144.9790185,Fitzroy,128 Moor Street  Fitzroy  3065,1300 695 427
-34.8130783874291,147.199654336634,Coolamon Library,129 Cowabbie Street,02 6927 2492
-37.38842,144.323897,Trentham,13 Albert Street,
-40.990232,145.72654,Wynyard,"13 Exhibition Link, Wynyard",(03) 6477 7415
-24.361125,139.470514,Bedourie Library,13 Herbert Street ,07 4746 1620
-37.84147961,144.873683,Newport,13 Mason Street  Newport  3015,9932 2050
-31.19536,117.03118,Dowerin Public Library,13 Stewart Street,9631 1662
-33.0885344586912,147.146218564896,Condobolin Library,130 Bathurst Street,02 6895 2253
-20.076807,146.261319,Charters Towers Excelsior Library,130 Gill Street ,07 4761 5580
-32.0505609422765,150.868538476236,Scone Library,130 Liverpool Street,02 6540 1183
-33.9510247762968,151.03120024347,Padstow Library & Knowledge Centre,132 Cahors Road,02 9707 9747
-17.5553023175867,133.5424224114,Elliott ,"132 Lewis Street, Elliott NT ",08 8969 2099 
-40.84159,145.122828,Smithton,"134 - 140 Nelson Street, Smithton",(03) 6478 9574
-21.140655,149.185153,Dudley Denny City Library,134 Victoria Street ,07 4961 9387
-38.24130255,142.9148902,Terang,135 High Street  Terang  3264,5592 1397
-29.0556446842148,152.019047766993,Tenterfield Library,135 Manners Street,02 6736 6060
-32.6698336319427,152.164334248136,Tea Gardens Library,135 Marine Parade,02 4997 1265
-27.467293,153.049626,New Farm Library,135 Sydney Street ,07 3403 1062
-38.13390014,145.8536155,Drouin,136 Princes Way  Drouin  3818,5625 1564
-41.1775898,146.3604878,Devonport,"137 Rooke Street, Devonport",(03) 6478 4230
-33.8088671278346,151.185038316012,,139 Artarmon Rd,02 9419 2849
-32.9598476723985,151.622586628108,Speers Point Library,139 Main Road,02 4921 0493
-36.72934833,146.9611615,Bright,14 Ireland Street  Bright  3741,5755 1540
-38.665807,146.436506,Welshpool,14 Main Street,
-41.241476,147.734929,Ringarooma,"14 Main Street, Ringarooma",(03) 6353 2155
-16.458913,145.375106,Mossman Library,14 Mill Street ,07 4099 9496
-35.918696,145.651493,Cobram,14 Punt Road,5872 2213
-37.91087399,144.997607,Brighton,14 Wilson Street  Brighton  3186,9591 5900
-33.9124692917658,151.102952715055,Campsie Library & Knowledge Centre,14-28 Amy Street,02 9789 9423
-34.29635,117.53576,Cranbrook Public Library,140 Climie Street,9826 1234
-27.4449997,153.1716801,Wynnum Library,145 Florence Street ,07 3403 2199
-27.730177,152.984178,Greenbank Library,145-167 Teviot Road ,07 3297 5158
-37.89739163,145.0902037,Oakleigh,148 Drummond Street  Oakleigh  3166,9563 4138
-26.94121,152.563933,Kilcoy Library,15 Kennedy Street ,07 5422 4950
-41.155696,146.172371,Ulverstone,"15 King Edward Street, Ulverstone",(03) 6464 3120
-32.9294028148691,151.772413391428,Newcastle City Library,15 Laman Street,02 4974 5342
-18.580047,146.284472,Halifax Sub Branch - Hinchinbrook Shire Library,15 Macrossan Street ,4776 4743
-30.91599,118.20751,Mukinbudin Public Library,15 Maddock Street,9047 2100
-31.94027,116.00407,High Wycombe Public Library,15 Markham Road,9257 9974
-34.3755246530594,150.898010813709,Corrimal District Library,15 Short Street,02 4227 8197
-37.86799981,144.9888216,St Kilda,150 Carlisle Street  St Kilda  3182,9209 6655
-37.96768233,146.9782496,Maffra,150 Johnson Street  Maffra  3860,03 5147 1052
-37.835447,144.695763,Tarneit (Julia Gillard),150 Sunset Views Boulevard,
-16.920195,145.775372,City Library,151 Abbott Street ,07 4044 3720
-33.9441065469321,151.222994684388,Eastgardens Library ,152 Bunnerong Road ,02 9366 3888
-28.9764507376795,148.989191457047,Mungindi Library,153 St George Street,02 6753 2389
-38.14101024,144.3480403,Geelong West,153B Pakington Street  Geelong West  3218,5229 1939
-23.364701,150.529701,North Rockhampton Library,154 Berserker Street ,07 4936 8373
-37.86323577,145.0768989,Ashburton,154 High Street  Ashburton  3147,9278 4633
-27.561945,151.953417,Local History Library,155 Herries Street ,07 4688 6150
-27.56444,151.949814,Toowoomba City Library,155 Herries Street ,07 4688 6670
-38.56440851,146.6745395,Yarram,156 Grant Street  Yarram  3971,03 5182 5135
-33.4820977851151,150.155280036639,Lithgow Library Learning Centre,157 Main Street,02 6352 9100
-38.633213,145.727643,Inverloch,16 A'Beckett Street,5674 1169
-27.344783,152.968287,Albany Creek Library,16 Ferguson Street ,07 3264 5267
-28.068726,145.684454,Cunnamulla Library,16 John Street ,07 4655 8490
-21.909035,149.412301,Carmila Library,16 Music Street ,07 4950 2350
-17.268905,145.478854,Atherton Library,16 Robert Street ,07 4089 2247
-28.8835,121.33117,Leonora Public Library,16 Tower Street,9037 7016
-21.15982,148.862922,Mirani Library,16 Victoria Street ,07 4961 9231
-37.91958552,145.041327,Bentleigh,161 Jasper Road  Bentleigh  3204,9557 8278
-25.28503,152.836872,Hervey Bay Library,161 Old Maryborough Road ,07 4197 4220
-38.17452655,144.3435636,Belmont,163 High Street  Belmont  3216,5243 2655
-36.912116443234,149.236943775203,BOMBALA LIBRARY,163 Maybe Street,02 6458 3196
-38.43023537,145.8215577,Korumburra,165 Commercial Street  Korumburra  3950,5655 1105
-37.77402158,144.9155657,Ascot Vale,165 Union Road  Ascot Vale  3032,8325 1990
-33.7294290111116,151.159073190054,St Ives Library,1666 Mona Vale Road,02 9424 0453
-16.0723330477558,136.307144314557,Borroloola ,"167 Robinson Road, Borroloola NT ",08 8975 8802 
-37.737744,145.219636,Warrandyte,168 Yarra Street,
-35.3025789945426,148.219663346654,Tumut Library,169 Wynyard Street,02 6941 2541
