long_name,short_name,state,fines,standard_loan_weeks,ILS,
Douglas Shire Council,DOUGLAS SHIRE,qld,yes,4,AIT Aurora,
Etheridge Shire Council,ETHERIDGE SHIRE,qld,no,?,AIT Aurora,
Flinders Shire Council,FLINDERS SHIRE QLD,qld,no,4,AIT Aurora,
Fraser Coast Regional Council,FRASER COAST REGIONAL,qld,no,3,AIT Aurora,
Gladstone Regional Council,GLADSTONE REGIONAL,qld,yes,3,AIT Aurora,
Goondiwindi Regional Council,GOONDIWINDI REGIONAL,qld,yes,4,AIT Aurora,
Hinchinbrook Shire Council,HINCHINBROOK SHIRE,qld,no,4,AIT Aurora,
Hope Vale Aboriginal Shire Council,HOPE VALE ABORIGINAL SHIRE,qld,no,,AIT Aurora,
Lockhart River Aboriginal Shire Council,LOCKHART RIVER ABORIGINAL SHIRE,qld,no,,AIT Aurora,
Longreach Regional Council,LONGREACH REGIONAL,qld,yes,3,AIT Aurora,
Mackay Regional Council,MACKAY REGIONAL,qld,no,2,AIT Aurora,
Maranoa Regional Council,MARANOA REGIONAL,qld,no,?,AIT Aurora,
McKinlay Shire Council,MCKINLAY SHIRE,qld,no,4,AIT Aurora,
Murweh Shire Council,MURWEH SHIRE,qld,no,?,AIT Aurora,
Napranum Aboriginal Shire Council,NAPRANUM ABORIGINAL SHIRE,qld,no,,AIT Aurora,
North Burnett Regional Council,NORTH BURNETT REGIONAL,qld,no,?,AIT Aurora,
Northern Peninsula Area Regional Council,NORTHERN PENINSULA AREA REGIONAL,qld,no,,AIT Aurora,
Palm Island Aboriginal Shire Council,PALM ISLAND ABORIGINAL SHIRE,qld,no,,AIT Aurora,
Paroo Shire Council,PAROO SHIRE,qld,no,?,AIT Aurora,
Pormpuraaw Aboriginal Shire Council,PORMPURAAW ABORIGINAL SHIRE,qld,no,,AIT Aurora,
Quilpie Shire Council,QUILPIE SHIRE,qld,no,?,AIT Aurora,
Richmond Shire Council,RICHMOND SHIRE,qld,no,2,AIT Aurora,
Somerset Regional Council,SOMERSET REGIONAL,qld,no,4,AIT Aurora,
South Burnett Regional Council,SOUTH BURNETT REGIONAL,qld,no,4,AIT Aurora,
Torres Shire Council,TORRES SHIRE,qld,no,,AIT Aurora,
Torres Strait Island Regional Council,TORRES STRAIT ISLAND REGIONAL,qld,no,,AIT Aurora,
Weipa Town Authority,WEIPA TOWN,qld,no,?,AIT Aurora,
Whitsunday Regional Council,WHITSUNDAY REGIONAL,qld,no,3,AIT Aurora,
Winton Shire Council,WINTON SHIRE,qld,no,?,AIT Aurora,
Woorabinda Aboriginal Shire Council,WOORABINDA ABORIGINAL SHIRE,qld,no,,AIT Aurora,
Wujal Wujal Aboriginal Shire Council,WUJAL WUJAL ABORIGINAL SHIRE,qld,no,,AIT Aurora,
Yarrabah Aboriginal Shire Council,YARRABAH ABORIGINAL SHIRE,qld,no,,AIT Aurora,
Libraries ACT,ACT,act,no,4,Civica Spydus,
Bathurst Library,BATHURST REGIONAL,nsw,yes,4,Civica Spydus,
Big Sky Libraries,BIG SKY,nsw,yes,4,Civica Spydus,
Blacktown City Libraries,BLACKTOWN,nsw,no,3,Civica Spydus,
Goulburn Mulwaree Library Service,GOULBURN MULWAREE,nsw,no,3,Civica Spydus,
Hornsby Shire Library Service,HORSBY,nsw,yes,4,Civica Spydus,
Inner West Council Libraries,INNER WEST,nsw,adults,3,Civica Spydus,
Ku-ring-gai Library,KU-RING-GAI,nsw,yes,4,Civica Spydus,
Lake Macquarie City Library,LAKE MACQUARIE,nsw,yes,4,Civica Spydus,
Lithgow Library Learning Centre,LITHGOW,nsw,no,4,Civica Spydus,
Liverpool City Library,LIVERPOOL,nsw,yes,?,Civica Spydus,
Macquarie Regional Library,MACQUARIE REGIONAL,nsw,yes,3,Civica Spydus,
Mid Western Regional Council Library Service,MID-WESTERN REGIONAL,nsw,yes,3,Civica Spydus,
Nambucca Shire Council Libraries,NAMBUCCA,nsw,yes,3,Civica Spydus,
North Western Library,NORTH WESTERN,nsw,?,3,Civica Spydus,
Northern Beaches Library,NORTHERN BEACHES,nsw,yes,3,Civica Spydus,
Oberon Council Library,OBERON,nsw,?,?,Civica Spydus,
Penrith City Library,PENRITH,nsw,yes,3,Civica Spydus,
Richmond Tweed Regional Library,RICHMOND TWEED REGIONAL,nsw,yes,3,Civica Spydus,
Ryde Library Service,RYDE,nsw,yes,?,Civica Spydus,
Strathfield Library and Information Centre,STRATHFIELD,nsw,yes,3,Civica Spydus,
The Hills Shire Library Service,THE HILLS SHIRE,nsw,?,3,Civica Spydus,
Upper Lachlan Library Service,UPPER LACHLAN SHIRE,nsw,yes,3,Civica Spydus,
Willoughby City Library,WILLOUGHBY,nsw,yes,3,Civica Spydus,
Wollondilly Library and Information Service,WOLLONDILLY,nsw,no,3,Civica Spydus,
Wollongong City Libraries,WOLLONGONG,nsw,no,4,Civica Spydus,
Bundaberg Regional Council,BUNDABERG REGIONAL,qld,no,3,Civica Spydus,
Gympie Regional Council,GYMPIE REGIONAL,qld,no,3,Civica Spydus,
Ipswich City Council,IPSWICH CITY,qld,no,4,Civica Spydus,
Lockyer Valley Regional Council,LOCKYER VALLEY REGIONAL,qld,no,4,Civica Spydus,
Mareeba Shire Council,MAREEBA SHIRE,qld,yes,4,Civica Spydus,
Moreton Bay Regional Council,MORETON BAY REGIONAL,qld,yes,?,Civica Spydus,
Noosa Shire Council,NOOSA SHIRE,qld,no,3,Civica Spydus,
Scenic Rim Regional Council,SCENIC RIM REGIONAL,qld,no,4,Civica Spydus,
Southern Downs Regional Council,SOUTHERN DOWNS REGIONAL,qld,yes,4,Civica Spydus,
Sunshine Coast Regional Council,SUNSHINE COAST REGIONAL,qld,no,3,Civica Spydus,
Tablelands Regional Council,TABLELANDS REGIONAL,qld,no,4,Civica Spydus,
Toowoomba Regional Council,TOOWOOMBA REGIONAL,qld,no,4,Civica Spydus,
Townsville City Council,TOWNSVILLE CITY,qld,no,4,Civica Spydus,
Western Downs Regional Council,WESTERN DOWNS REGIONAL,qld,no,4,Civica Spydus,
Bayside Library Service,Bayside_VIC,vic,no,4,Civica Spydus,
Boroondara Library Service,Boroondara,vic,yes,3,Civica Spydus, 
Corangamite Regional Library Corporation,Corangamite,vic,adults,3,Civica Spydus,
Darebin Libraries,Darebin,vic,yes,3,Civica Spydus,
Eastern Regional Libraries Corporation,Eastern,vic,no,3,Civica Spydus,
Frankston City Libraries,Frankston,vic,no,3,Civica Spydus,
Glen Eira Libraries,Glen Eira,vic,yes,3,Civica Spydus,
Goldfields Library Corporation,Goldfields,vic,yes,3,Civica Spydus,
Maribyrnong Library Service,Maribyrnong,vic,yes,3,Civica Spydus,
City of Melbourne Libraries,Melbourne,vic,yes,3,Civica Spydus,
Monash Public Library Service,Monash,vic,no,4,Civica Spydus,
Murrindindi Library Service,Murrindindi,vic,no,3,Civica Spydus,
Port Phillip Library Service,Port Phillip,vic,no,4,Civica Spydus,
Stonnington Library & Information Service,Stonnington,vic,?,3,Civica Spydus,
Whitehorse Manningham Regional Library Corp,Whitehorse Manningham,vic,yes,3,Civica Spydus,
Yarra Plenty Regional Library Service,Yarra Plenty,vic,no,3,Civica Spydus,
Albany City Council,ALBANY,wa,,3,Civica Spydus,
Broomehill-Tambellup Shire Council,BROOMEHILL-TAMBELLUP,wa,,3,Civica Spydus,
Claremont Town Council,CLAREMONT,wa,,3,Civica Spydus,
Cranbrook Shire Council,CRANBROOK,wa,,4,Civica Spydus,
Denmark Shire Council,DENMARK,wa,,3,Civica Spydus,
Gnowangerup Shire Council,GNOWANGERUP,wa,,3,Civica Spydus,
Jerramungup Shire Council,JERRAMUNGUP,wa,,3,Civica Spydus,
Katanning Shire Council,KATANNING,wa,,3,Civica Spydus,
Kojonup Shire Council,KOJONUP,wa,,3,Civica Spydus,
Murray Shire Council,MURRAY,wa,,3,Civica Spydus,
Nedlands City Council,NEDLANDS,wa,,3,Civica Spydus,
Peppermint Grove Shire Council,PEPPERMINT GROVE,wa,,3,Civica Spydus,
Plantagenet Shire Council,PLANTAGENET,wa,,4,Civica Spydus,
Subiaco City Council,SUBIACO,wa,,3,Civica Spydus,
Sutherland Shire Libraries and Information Service,SUTHERLAND SHIRE,nsw,yes,3,Innovative Sierra,
Gold Coast City Council,GOLD COAST CITY,qld,no,4,Innovative Sierra,
Brimbank Libraries,Brimbank,vic,adults,4,Koha ILS,
Albury City Libraries,ALBURY,nsw,yes,?,Libero,
Armidale Regional Library,ARMIDALE REGIONAL,nsw,?,?,Libero,
Bega Valley Shire Library,BEGA VALLEY,nsw,no,4,Libero,
Berrigan Shire Library Service,BERRIGAN,nsw,yes,2,Libero,
Grenfell and District Shire Library,GRENFELL,nsw,no,3,Libero,
Gunnedah Shire Library,GUNNEDAH,nsw,yes,3,Libero,
Hilltops Council Library,HILLTOPS,nsw,yes,3,Libero,
South Coast Cooperative Libraries,KIAMA,nsw,yes,4,Libero,
Lachlan Shire Library Service,LACHLAN,nsw,?,?,Libero,
Leeton Shire Major Dooley Library,LEETON,nsw,?,?,Libero,
Maitland City Library,MAITLAND,nsw,no_unconfirmed,?,Libero,
Mid North Coast Cooperative Library Service,MID NORTH COAST COOP,nsw,yes,3,Libero,
MidCoast Libraries,MID-COAST,nsw,no,3,Libero,
Parkes Shire Library,PARKES,nsw,no,4,Libero,
Queanbeyan Palerang Library Service,QUEANBEYAN PALERANG REGIONAL,nsw,yes,4,Libero,
Richmond Upper Clarence Regional Library,RICHMOND UPPER CLARENCE REGIONAL,nsw,yes,3,Libero,
Riverina Regional Library,RIVERINA REGIONAL,nsw,yes,4,Libero,
Shoalhaven Libraries,SHOALHAVEN,nsw,no,4,Libero,
Tenterfield Public Library,TENTERFIELD,nsw,yes,4,Libero,
Waverley Library,WAVERLEY,nsw,yes,3,Libero,
Wentworth Shire Library,WENTWORTH,nsw,?,?,Libero,
Western Riverina Libraries,WESTERN RIVERINA REGIONAL,nsw,yes,3,Libero,
Woollahra Library and Information Service,WOOLLAHRA,nsw,adults,3,Libero,
Yass Valley Library Service,YASS VALLEY,nsw,yes,?,Libero,
Cairns Regional Council,CAIRNS REGIONAL,qld,no,3,Libero,
Cassowary Coast Regional Council,CASSOWARY COAST REGIONAL,qld,no,3,Libero, 
Livingstone Shire Council,LIVINGSTONE SHIRE,qld,no,?,Libero,
Mount Isa City Council,MOUNT ISA CITY,qld,no,4,Libero,
Moreland City Libraries,Moreland,vic,no_unconfirmed,3,Libero,
Snowy Monaro Regional Library,SNOWY MONARO REGIONAL,nsw,?,4,OCLC Amlib,
East Gippsland Shire Library,East Gippsland,vic,yes,4,OCLC Amlib,
Shellharbour City Libraries,SHELLHARBOUR,nsw,no,3,OCLC WorldCat,
Alice Springs,ALICE SPRINGS,NT,no,?,OCLC WorldCat,
Alyangula,ALYANGULA,NT,no,?,OCLC WorldCat,
Barkly,BARKLY,NT,no,?,OCLC WorldCat,
Central Desert,CENTRAL DESERT,NT,no,?,OCLC WorldCat,
Coomalie,COOMALIE,NT,no,4,OCLC WorldCat,
Darwin,DARWIN,NT,no,4,OCLC WorldCat,
East Arnhem,EAST ARNHEM,NT,no,?,OCLC WorldCat,
Katherine,KATHERINE,NT,no,?,OCLC WorldCat,
Litchfield,LITCHFIELD,NT,no,?,OCLC WorldCat,
Palmerston,PALMERSTON,NT,no,4,OCLC WorldCat,
Roper Gulf,ROPER GULF,NT,no,?,OCLC WorldCat,
Tiwi Islands,TIWI ISLANDS,NT,no,?,OCLC WorldCat,
Victoria Daly,VICTORIA DALY,NT,no,?,OCLC WorldCat,
West Arnhem,WEST ARNHEM,NT,no,?,OCLC WorldCat,
West Daly,WEST DALY,NT,no,?,OCLC WorldCat,
Isaac Regional Council,ISAAC REGIONAL,qld,no,?,OCLC WorldCat,
Geelong Regional Library Corporation,Geelong,vic,adults,4,Sirsi Dynix Horizon,
Hume Libraries,Hume,vic,no,3,Sirsi Dynix Horizon,
Adelaide City Council Library Service ,ADELAIDE,sa,?,4,Sirsi Dynix Symphony,
Adelaide Hills Library Service ,ADELAIDE HILLS,sa,no,4,Sirsi Dynix Symphony,
Adelaide Plains Library Service ,ADELAIDE PLAINS,sa,?,?,Sirsi Dynix Symphony,
Alexandrina Library Service ,ALEXANDRINA,sa,?,4,Sirsi Dynix Symphony,
Barossa Library Service ,BAROSSA,sa,?,?,Sirsi Dynix Symphony,
Barunga West Council ,BARUNGA WEST,sa,?,?,Sirsi Dynix Symphony,
Berri Barmera Council ,BERRI BARMERA,sa,no,4,Sirsi Dynix Symphony,
Burnside Library Service,BURNSIDE,sa,?,?,Sirsi Dynix Symphony,
Campbelltown Public Library Service,CAMPBELLTOWN,sa,?,4,Sirsi Dynix Symphony,
District Council of Ceduna ,CEDUNA,sa,?,?,Sirsi Dynix Symphony,
Charles Sturt Library Service ,CHARLES STURT,sa,no,4,Sirsi Dynix Symphony,
Clare and Gilbert Valleys Council ,CLARE AND GILBERT VALLEYS,sa,?,?,Sirsi Dynix Symphony,
District Council of Cleve ,CLEVE,sa,?,?,Sirsi Dynix Symphony,
District Council of Coober Pedy ,COOBER PEDY,sa,?,4,Sirsi Dynix Symphony,
Coorong District Council ,COORONG,sa,?,?,Sirsi Dynix Symphony,
Copper Coast Council ,COPPER COAST,sa,?,?,Sirsi Dynix Symphony,
District Council of Elliston ,ELLISTON,sa,?,?,Sirsi Dynix Symphony,
The Flinders Ranges Council ,FLINDERS RANGES,sa,?,?,Sirsi Dynix Symphony,
District Council of Franklin Harbour ,FRANKLIN HARBOUR,sa,?,?,Sirsi Dynix Symphony,
Gawler Public Library Service ,GAWLER,sa,no_unconfirmed,4,Sirsi Dynix Symphony,
Regional Council of Goyder ,GOYDER,sa,?,?,Sirsi Dynix Symphony,
District Council of Grant ,GRANT,sa,?,?,Sirsi Dynix Symphony,
Holdfast Bay Library Service ,HOLDFAST BAY,sa,?,?,Sirsi Dynix Symphony,
Kangaroo Island Library Service ,KANGAROO ISLAND,sa,yes,4,Sirsi Dynix Symphony,
District Council of Karoonda East Murray ,KAROONDA EAST MURRAY,sa,?,?,Sirsi Dynix Symphony,
District Council of Kimba ,KIMBA,sa,?,?,Sirsi Dynix Symphony,
Kingston District Council ,KINGSTON SA,sa,no_unconfirmed,?,Sirsi Dynix Symphony,
Light Regional Public Library Service ,LIGHT,sa,?,4,Sirsi Dynix Symphony,
District Council of Lower Eyre Peninsula ,LOWER EYRE PENINSULA,sa,?,4,Sirsi Dynix Symphony,
Loxton Waikerie Library Service ,LOXTON WAIKERIE,sa,?,?,Sirsi Dynix Symphony,
Marion Library Service ,MARION,sa,,4,Sirsi Dynix Symphony,
Mid Murray Council ,MID MURRAY,sa,?,?,Sirsi Dynix Symphony,
Mitcham Library Service ,MITCHAM,sa,yes,4,Sirsi Dynix Symphony,
Mount Barker Community Library,MOUNT BARKER,sa,no,?,Sirsi Dynix Symphony,
Mount Gambier Library Service,MOUNT GAMBIER,sa,?,?,Sirsi Dynix Symphony,
Murray Bridge Library Service,MURRAY BRIDGE,sa,?,?,Sirsi Dynix Symphony,
Naracoorte Lucindale Council ,NARACOORTE LUCINDALE,sa,?,4,Sirsi Dynix Symphony,
Northern Areas Council ,NORTHERN AREAS,sa,?,4,Sirsi Dynix Symphony,
Norwood Payneham & St Peters Library Service ,NORWOOD PAYNEHAM AND ST PETERS,sa,?,4,Sirsi Dynix Symphony,
Onkaparinga Library Service ,ONKAPARINGA,sa,?,4,Sirsi Dynix Symphony,
District Council of Orroroo Carrieton ,ORROROO/CARRIETON,sa,?,?,Sirsi Dynix Symphony,
Peterborough Council,PETERBOROUGH,sa,?,4,Sirsi Dynix Symphony,
Playford Library Service ,PLAYFORD,sa,?,?,Sirsi Dynix Symphony,
Port Adelaide Enfield Library Service ,PORT ADELAIDE ENFIELD,sa,?,?,Sirsi Dynix Symphony,
Port Augusta Library Service,PORT AUGUSTA,sa,?,?,Sirsi Dynix Symphony,
Port Lincoln Library Service,PORT LINCOLN,sa,no_unconfirmed,?,Sirsi Dynix Symphony,
Port Pirie Regional Library Service ,PORT PIRIE,sa,no_unconfirmed,4,Sirsi Dynix Symphony,
Prospect Public Library Service,PROSPECT,sa,?,?,Sirsi Dynix Symphony,
Renmark Paringa Public Library Service,RENMARK PARINGA,sa,?,?,Sirsi Dynix Symphony,
Robe Public Library Service,ROBE,sa,no_unconfirmed,4,Sirsi Dynix Symphony,
Roxby Downs Community Library Service,ROXBY DOWNS,sa,?,?,Sirsi Dynix Symphony,
Salisbury Library Service ,SALISBURY,sa,yes,4,Sirsi Dynix Symphony,
Southern Mallee District Council ,SOUTHERN MALLEE,sa,?,4,Sirsi Dynix Symphony,
District Council of Streaky Bay ,STREAKY BAY,sa,?,?,Sirsi Dynix Symphony,
Tatiara District Council ,TATIARA,sa,?,4,Sirsi Dynix Symphony,
Tea Tree Gully Library Service,TEA TREE GULLY,sa,yes,4,Sirsi Dynix Symphony,
District Council of Tumby Bay ,TUMBY BAY,sa,?,?,Sirsi Dynix Symphony,
Unley Library Service ,UNLEY,sa,yes,4,Sirsi Dynix Symphony,
Victor Harbor Public Library Service,VICTOR HARBOR,sa,?,4,Sirsi Dynix Symphony,
Wakefield Regional Council ,WAKEFIELD,sa,?,?,Sirsi Dynix Symphony,
Walkerville Public Library Service,WALKERVILLE,sa,?,4,Sirsi Dynix Symphony,
Wattle Range Council ,WATTLE RANGE,sa,?,4,Sirsi Dynix Symphony,
West Torrens Library Service ,WEST TORRENS,sa,no,4,Sirsi Dynix Symphony,
Whyalla Public Library Service,WHYALLA,sa,no,?,Sirsi Dynix Symphony,
Wudinna District Council ,WUDINNA,sa,?,?,Sirsi Dynix Symphony,
Yankalilla Library Service,YANKALILLA,sa,no,4,Sirsi Dynix Symphony,
Yorke Peninsula Council ,YORKE PENINSULA,sa,?,?,Sirsi Dynix Symphony,
Libraries Tasmania,Tasmania,tas,no,3,Sirsi Dynix Symphony,
Buloke Library Service,Buloke,vic,no,?,Sirsi Dynix Symphony,
Campaspe Regional Library,Campaspe,vic,adults,4,Sirsi Dynix Symphony,
Casey Cardinia Libraries,Casey Cardinia,vic,no,4,Sirsi Dynix Symphony,
Central Highlands Libraries,Central Highlands VIC,vic,by_lga,4,Sirsi Dynix Symphony,
Gannawarra Library Service,Gannawarra,vic,?,4,Sirsi Dynix Symphony,
Glenelg Libraries,Glenelg,vic,adults,3,Sirsi Dynix Symphony,
Goulburn Valley Regional Library Corporation,Goulburn Valley,vic,no,4,Sirsi Dynix Symphony,
Greater Dandenong Libraries,Greater Dandenong,vic,yes,3,Sirsi Dynix Symphony,
High Country Library Network,High Country,vic,adults,4,Sirsi Dynix Symphony,
Hindmarsh Shire Libraries,Hindmarsh,vic,no_unconfirmed,4,Sirsi Dynix Symphony,
Hobsons Bay Libraries,Hobsons Bay,vic,yes,3,Sirsi Dynix Symphony,
Indigo Shire Libraries,Indigo,vic,?,4,Sirsi Dynix Symphony,
Kingston Information & Library Service,Kingston,vic,yes,3,Sirsi Dynix Symphony,
Latrobe City Libraries,Latrobe,vic,no_unconfirmed,3,Sirsi Dynix Symphony,
Melton City Libraries,Melton,vic,?,3,Sirsi Dynix Symphony,
Mildura Rural City Council Library Service,Mildura,vic,no_unconfirmed,4,Sirsi Dynix Symphony,
Mitchell Shire Library Service,Mitchell,vic,no,3,Sirsi Dynix Symphony,
Moonee Valley Libraries,Moonee Valley,vic,yes,3,Sirsi Dynix Symphony,
Mornington Peninsula Library Service,Mornington Peninsula,vic,adults,3,Sirsi Dynix Symphony,
Swan Hill Regional Library Service,Swan Hill,vic,no,4,Sirsi Dynix Symphony,
Towong Shire Libraries,Towong,vic,no,4,Sirsi Dynix Symphony,
Wellington Shire Library,Wellington,vic,yes,3,Sirsi Dynix Symphony,
West Gippsland Regional Library Corporation,West Gippsland,vic,no,4,Sirsi Dynix Symphony,
Wimmera Regional Library Corporation,Wimmera,vic,no,4,Sirsi Dynix Symphony,
Wodonga Library,Wodonga,vic,no,4,Sirsi Dynix Symphony,
Wyndham City Library Service,Wyndham,vic,no,4,Sirsi Dynix Symphony,
Yarra Libraries,Yarra,vic,no,3,Sirsi Dynix Symphony,
Yarriambiack Libraries,Yarriambiack,vic,no_unconfirmed,4,Sirsi Dynix Symphony,
Boyup Brook Shire Council,BOYUP BROOK,wa,,3,Sirsi Dynix Symphony,
Bridgetown-Greenbushes Shire Council,BRIDGETOWN-GREENBUSHES,wa,,3,Sirsi Dynix Symphony,
Bunbury City Council,BUNBURY,wa,,3,Sirsi Dynix Symphony,
Busselton City Council,BUSSELTON,wa,,3,Sirsi Dynix Symphony,
Capel Shire Council,CAPEL,wa,,3,Sirsi Dynix Symphony,
Dardanup Shire Council,DARDANUP,wa,,3,Sirsi Dynix Symphony,
Donnybrook-Balingup Shire Council,DONNYBROOK-BALINGUP,wa,,3,Sirsi Dynix Symphony,
Harvey Shire Council,HARVEY,wa,,3,Sirsi Dynix Symphony,
Manjimup Shire Council,MANJIMUP,wa,,3,Sirsi Dynix Symphony,
Nannup Shire Council,NANNUP,wa,,3,Sirsi Dynix Symphony,
Waroona Shire Council,WAROONA,wa,,3,Sirsi Dynix Symphony,
Newcastle Region Library,NEWCASTLE,nsw,adults,4,Sirsi-Dynix Enterprise,
Wingecarribee Public Library,WINGECARRIBEE,nsw,no_unconfirmed,2,Sirsi-Dynix Horizon,
Randwick City Library Service,RANDWICK,nsw,no,3,Sirsi-Dynix Portfolio,
Logan City Council,LOGAN CITY,qld,no,2,SirsiDynix Horizon,
Redland City Council,REDLAND CITY,qld,no,4,SirsiDynix Horizon,
Brisbane City Council,BRISBANE CITY,qld,no,4,SirsiDynix Symphony,
Burdekin Shire Council,BURDEKIN SHIRE,qld,no,4,SirsiDynix Symphony,
Rockhampton Regional Council,ROCKHAMPTON REGIONAL,qld,yes,3,SirsiDynix Symphony,
Blue Mountains City Library,BLUE MOUNTAINS,nsw,no,3,,
Bourke Public Library,BOURKE,nsw,?,?,,
Broken Hill City Library,BROKEN HILL,nsw,no,?,,
Burwood Library,BURWOOD,nsw,no_unconfirmed,3,,
Campbelltown City Library Service,CAMBELLTOWN,nsw,?,?,,
Camden Council Libraries,CAMDEN,nsw,yes,3,,
City of Canada Bay Library Service,CANADA BAY,nsw,adults,3,,
Canterbury-Bankstown Library ,CANTERBURY-BANKSTOWN,nsw,yes,3,,
Central Coast Libraries,CENTRAL COAST,nsw,no,3,,
Central Murray Regional Library,CENTRAL MURRAY,nsw,?,?,,
Central Northern Regional Library,CENTRAL NORTHERN,nsw,no,3,,
Central West Libraries,CENTRAL WEST,nsw,yes,4,,
Cessnock City Library,CESSNOCK,nsw,no_unconfirmed,?,,
Clarence Regional Library Service,CLARENCE REGIONAL,nsw,yes,4,,
Cobar Shire and TAFE Library,COBAR,nsw,?,4,,
Coffs Harbour City Library and Information Service,COFFS HARBOUR,nsw,no,4,,
Cumberland Library,CUMBERLAND,nsw,no,3,,
Eurobodalla Shire Library Service,EUROBODALLA,nsw,yes,?,,
Fairfield City Library Service,FAIRFIELD,nsw,yes,6,,
Georges River Libraries,GEORGES RIVER,nsw,yes,3,,
Glen Innes Severn Public and TAFE Library,GLEN INNES SEVERN SHIRE,nsw,no,2,,
City of Parramatta Libraries,PARRAMATTA,nsw,?,?,,
City of Sydney Library,SYDNEY,nsw,yes,3,,
Armadale City Council,ARMADALE,wa,,3,,
Ashburton Shire Council,ASHBURTON,wa,,2,,
Augusta-Margaret River Shire Council,AUGUSTA-MARGARET RIVER,wa,,3,,
Bassendean Town Council,BASSENDEAN,wa,,3,,
Bayswater City Council,BAYSWATER,wa,,3,,
Belmont City Council,BELMONT,wa,,3,,
Beverley Shire Council,BEVERLEY,wa,,2,,
Boddington Shire Council,BODDINGTON,wa,,?,,
Brookton Shire Council,BROOKTON,wa,,2,,
Broome Shire Council,BROOME,wa,,2,,
Bruce Rock Shire Council,BRUCE ROCK,wa,,2,,
Cambridge Town Council,CAMBRIDGE,wa,,4,,
Canning City Council,CANNING,wa,,3,,
Carnamah Shire Council,CARNAMAH,wa,,2,,
Carnarvon Shire Council,CARNARVON,wa,,3,,
Chapman Valley Shire Council,CHAPMAN VALLEY,wa,,3,,
Chittering Shire Council,CHITTERING,wa,,4,,
Cockburn City Council,COCKBURN,wa,,3,,
Collie Shire Council,COLLIE,wa,,3,,
Coolgardie Shire Council,COOLGARDIE,wa,,2,,
Coorow Shire Council,COOROW,wa,,3,,
Corrigin Shire Council,CORRIGIN,wa,,2,,
Cuballing Shire Council,CUBALLING,wa,,3,,
Cue Shire Council,CUE,wa,,3,,
Cunderdin Shire Council,CUNDERDIN,wa,,2,,
Dalwallinu Shire Council,DALWALLINU,wa,,3,,
Dandaragan Shire Council,DANDARAGAN,wa,,3,,
Derby-West Kimberley Shire Council,DERBY-WEST KIMBERLEY,wa,,2,,
Dowerin Shire Council,DOWERIN,wa,,2,,
Dumbleyung Shire Council,DUMBLEYUNG,wa,,2,,
Dundas Shire Council,DUNDAS,wa,,2,,
East Pilbara Shire Council,EAST PILBARA,wa,,3,,
Esperance Shire Council,ESPERANCE,wa,,3,,
Exmouth Shire Council,EXMOUTH,wa,,3,,
Fremantle City Council,FREMANTLE,wa,,3,,
Gingin Shire Council,GINGIN,wa,,2,,
Goomalling Shire Council,GOOMALLING,wa,,2,,
Gosnells City Council,GOSNELLS,wa,,3,,
Greater Geraldton City Council,GREATER GERALDTON,wa,,3,,
Halls Creek Shire Council,HALLS CREEK,wa,,?,,
Irwin Shire Council,IRWIN,wa,,3,,
Joondalup City Council,JOONDALUP,wa,,4,,
Kalamunda City Council,KALAMUNDA,wa,,3,,
